cod_produs;cod_ean;nume_produs;descriere;nume_categorie;imag_baza;cant_stock;in_stock;pret_produs;pret_sugerat;categorie_id;categorie_path_subcat;greutate;producator;creat_la_data;imag_galerie
100010;;Stikere Reflectorizante  M-WAVE REFLICKERS SMILE;<ul><li>Material reflectorizant <strong>3M SCOTCHLITE </strong></li><li>Test acordat-<strong> EN 13356 </strong></li><li>4 Stikere galbene cu imprimeu Negru</li><li>Pe Blister M-WAVE</li><li>2 x Smiley,2 x 3M</li></ul>;Reflectorizante;;5;1;14.0;28.0;100;Reflectorizante;;M-WAVE;2024/01/01;
100011;;Husa Bagaje M-WAVE MAASTRICHT PROTECT;<ul><li>Universal pentru bagaje de<strong> maxim 25 litri </strong></li><li>Pentru cosuri, bagaje de spate</li><li>Fixare cu ajutorul celor doua benzi elastice</li><li>Culoare <strong>Galben Neon</strong></li><li>Material refletorizant <strong>3M Scotchlite</strong></li><li><strong> Rezistent la apa</strong></li><li>Buzunar in spate</li></ul>;Reflectorizante;;5;1;26.0;52.0;100;Reflectorizante;;M-WAVE;2024/01/01;
100012;;Husa Casca M-WAVE  PETER;<ul><li><strong>Rezistent la apa</strong></li><li>Spalabil si respirabil</li><li><strong> Logo reflectorizant</strong></li><li>Culoare <strong>Galben Neon</strong></li></ul>;Trotineta electrica si accesorii;;5;1;14.5;29.0;100;Trotineta electrica si accesorii;;M-WAVE;2024/01/01;
100013;;Trotineta Freestyle 100;<ul><li><strong>Foarte Robusta</strong></li><li>Aluminiu</li><li>Greutate maxima Rider 100 kg</li><li><strong>Roti Silicon 100 mm cu Rulmenti ABEC-9</strong></li></ul>;Biciclete pentru Copii;;5;1;249.5;499.0;100;Biciclete pentru Copii;;M-WAVE;2024/01/01;
100014;;"Roti Ajutatoare pentru Bicicletele de Copii cu Viteze 16"" - 20"" SXT";<ul><li>Pentru biciclete de copii de la 12''-20''<strong> cu viteze</strong></li><li>Suport solid</li><li>Roti din plastic foarte rezistent</li></ul>;Roti ajutatoare;;5;1;27.5;55.0;100;Roti ajutatoare;;SXT;2024/01/01;
100015;;"Roti ajutatoare pentru biciclete cu viteze  B-RACE 20""- 26 """;<ul><li>Test Acordat<strong>EN 14765</strong></li><li><strong>Cu suport anti intoarcere</strong></li><li>Pentru biciclete cu viteze de la 20''-26''</li></ul>;Roti ajutatoare;;0;0;145.0;290.0;100;Roti ajutatoare;;CICLO BONIN;2024/01/01;
100016;;Roti ajutatoare reglabile 12''-20'';<ul><li>Pentru biciclete de copii de la 12''-20''</li><li>Cu suport anti intoarcere</li></ul>;Biciclete pentru Copii;;5;1;18.0;36.0;100;Biciclete pentru Copii;;SXT;2024/01/01;
100017;;Bara Tandem  TRAIL-GATOR;<ul><li><strong>ATENTIE !!!!- LA ACEST PRODUS NU SE ACORDA DISCOUNT SI TRANSPORT</strong></li><li>Bara pentru tractare biciclete copii</li><li>Se recomanda utilizarea numai pentru biciclete in conformitate cu normele EN</li><li>Prindere QR de tija sa Se monteaza fara scule cu prindere rapida</li><li>Compatibil pentru biciclete de la<strong> 12'' -20''</strong></li><li>Sarcina maxima admisa ( utilizator + bicicleta ) <strong>48 kg </strong></li><li>Culoare - Rosu Pliabila</li></ul>;Bara Tandem;;4;1;290.0;580.0;100;Bara Tandem;;M-WAVE;2024/01/01;
100018;;Scaun Bicicleta Spate pentru Copii Prindere pe Portbagaj BELELLI  LIGHT;<ul><li>Cu prindre QR Se monteaza pe <strong>portbagaj in spate</strong></li><li>Pentru <strong>copii de maxim 7 ani</strong></li><li><strong> Greutatea maxima admisa 22 kg</strong></li><li><strong> 3 puncte de prindere</strong> pentru o mai mare siguranta</li><li><strong> Testat--DIN EN 14344</strong></li></ul>;Scaune pentru Copii;;0;0;145.0;290.0;100;Scaune pentru Copii;;BELELLI;2024/01/01;
100019;;Scaun Bicicleta Spate pentru Copii Prindere pe Cadru BELELLI PEPE STANDARD  HI-VIZ;<ul><li>Prindere universala pentru tija de sa<strong>(25-46 mm pentru rotund si pentru30- 60 mm pentru oval) </strong></li><li>Cu adaptor pentru cadru Pentru copii pana la <strong>varsta de 7 ani</strong></li><li><strong> Greutate maxima 22 kg.</strong></li><li><strong>Centura de siguranta</strong> cu prindere in trei puncte si eliberare rapida</li><li>Teste acordate.<strong> TUV/GS si DIN EN 14344</strong></li><li><strong>Greutate-3280 grame</strong></li><li>Culoare <strong>Galben Neon</strong></li><li><strong>Cu reflectoare</strong></li></ul>;Scaune pentru Copii;;0;0;160.0;320.0;100;Scaune pentru Copii;;BELELLI;2024/01/01;
100020;;Scaun Bicicleta Fata pentru Copii  BELELLI TATOO FIX Grey;<ul><li><strong>Prindere in Fata</strong></li><li><strong>Pentru copii aprox. de 4 ani</strong></li><li>Greutate maxima admisa <strong>15 kg</strong></li><li><strong>Centura de siguranta cu prindere in trei puncte si eliberare rapida.</strong></li><li><strong>Test admis-EN 14344</strong></li></ul>;Scaune pentru Copii;;0;0;79.0;158.0;100;Scaune pentru Copii;;BELELLI;2024/01/01;
100021;;Adaptor Remorca Bicicleta VENTURA Universal;<ul><li>Metal zincat</li><li>Montare pe tija de sa(pentru 25,4-31,8 mm)</li></ul>;Remorci Transport Copii;;0;0;34.0;68.0;100;Remorci Transport Copii;;VENTURA;2024/01/01;
100022;;"Antifurt Tip Lant cu Cifru  M-WAVE  ""D 3,5.9""";<ul><li>Cifru <strong>individual schimbabi</strong>l cu <strong>4 digits </strong></li><li><strong>Dimensiuni: 3,5 x 900 mm</strong></li><li><strong>Zale cu diametrul de 3,5 mm</strong></li><li><strong>Lungime: 900 mm</strong></li><li>Acoperit cu <strong>material textil</strong></li></ul>;Accesorii bicicleta;;0;0;20.0;40.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100023;;Antifurt Cadru M-WAVE  XL RING;<p></p><ul><li><strong>Tip potcoava cu diametrul interier de 70 mm</strong></li><li><strong>Chei cu lumina2bucati</strong></li><li>Prindere pe cadru in 2 suruburi cu distantier datasabil<ul><li><strong>Interior latime de 65 mm</strong></li><li><strong>Distanta intre suruburi de 30 mm</strong></li><li><strong>Interior lungime 110 mm</strong></li></ul></li><li>Culoare <strong>Negru</strong></li></ul>;Accesorii bicicleta;;2;1;32.5;65.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100024;;"Antifurt cu Cheie M-WAVE ""S 20.18"" Nivel securitate 3";<ul><li><strong>20 X 1800 mm</strong></li><li><strong> Cablu extra gros </strong></li><li>Acoperitoare negru transparent</li><li><strong>Chei computer-design </strong></li><li>Prindere pentru tija de sa</li><li><strong>Cap acoperit-</strong>pentru o mai buna protectie</li></ul>;Accesorii bicicleta;;5;1;67.5;135.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100025;;Antifurt cu Cifru M-WAVE DS 20.18 Nivel de securitate 3;<ul><li><strong>20 x 1800 mm </strong></li><li>Cablu foarte gros impletit cu diametrul de 20 mm</li><li>Acoperire siliconica</li><li>Lungime: 1.800 mm</li><li>Culoare negru transparent</li><li><strong>Cifru individual interschimbabil</strong></li><li><strong>Cod</strong> cifru cu <strong>5 numere</strong></li></ul>;Accesorii bicicleta;;5;1;62.5;125.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100026;;"Antifurt Hexagonal cu Cifru M-WAVE  ""DS 12.18""";<ul><li>Acoperit cu material negru matt transparent<strong> in forma hexagonala  </strong></li><li>Dimensiune: <strong>12 X 1800 mm </strong></li><li><strong>Cablu spiralt cu grosimea de 12 mm</strong></li><li><strong>Lungime: 1.800 mm</strong></li><li><strong> Cifru</strong> din <strong>patru cifre </strong></li><li><strong>Cod</strong> de securitate individual,<strong> Schimbabil </strong></li><li>Prindere universala clip-on pentru tija de sa si cadru</li></ul>;Accesorii bicicleta;;5;1;34.5;69.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100027;;"Antifurt Hexagonal cu Cheie M-WAVE ""S 12.18""";<ul><li>Dimensiune: <strong>12 X 1800 mm </strong></li><li><strong>Cablu spiralat cu diametru de 12 mm</strong></li><li><strong>Lunhgime: 1.800 mm</strong></li><li>Acoperit cu material negru matt transparent in<strong> forma hexagonala </strong></li><li><strong>Prindere universala clip-on</strong> pentru tija de sa si cadru</li><li>Include <strong>2 chei  computer-designed</strong></li></ul>;Accesorii bicicleta;;5;1;22.5;45.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100028;;"Antifurt cu Cifru M-WAVE ""DS 8.15""";<ul><li>Dimensiune: <strong>8 X 1500 mm </strong></li><li><strong>Cablu spiralat cu diametru de 8 mm</strong></li><li><strong>Lungime: 1.500 mm</strong></li><li>Acoperitoare transparenta</li><li><strong>Cod</strong> de securitate individual, <strong>schimbabil </strong></li><li>Prindere clip-on pentru tija de sa si cadru</li><li><strong>Cifru</strong> din <strong>4 cifre</strong></li></ul>;Accesorii bicicleta;;5;1;16.5;33.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100029;;"Antifurt cu Cheie M-WAVE  ""S 8.15""";<ul><li>Dimensiune: <strong>8 X 1500 mm</strong></li><li><strong>Cablu spiralat cu diametru de 8 mm</strong></li><li><strong>Lungime: 1.500 mm</strong></li><li><strong>Prindere clip-on</strong> pentru tija de sa si cadru </li><li>Include <strong>2 chei </strong></li><li><strong>Protectie</strong> pentru praf</li><li>Acoperitoare de culoare<strong> negru transparent</strong></li></ul>;Accesorii bicicleta;;5;1;14.5;29.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100030;;"Antifurt cu Cheie M-WAVE  ""S 6.10""  ";<ul><li>Dimensiune<strong> 6 x 1000 mm</strong></li><li><strong>Cablu spiralat cu diametrul de 6 mm</strong></li><li><strong>Lungime: 1.000 mm</strong></li><li>Acoperitoare Transparenta</li><li><strong>Prindere Clip-On</strong> pentru tija de sa si cadru</li><li><strong>Include 2 chei</strong></li></ul>;Accesorii bicicleta;;5;1;9.5;19.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100031;;"Antifurt cu Cheie Expandabil M-WAVE ""STYLE 23.10""";<ul><li><strong>Forma dreptunhiulara 23 x 12 mm</strong></li><li><strong>Lungume: 1000 mm</strong></li><li>Inchidere automata</li><li><strong>Nivel inalt de securitate 2  </strong> datorita firelor interne duble si a unei tehnologii speciale de siguranta.</li><li><strong>Acoperitoare transparente</strong> si cu banda reflectorizanta</li><li><strong>Chei computer-design </strong></li><li><strong>Expandabil</strong> prin adaugarea mai multor elemente de acelasi tip</li></ul>;Accesorii bicicleta;;5;1;62.5;125.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100032;;"Antifurt cu Cheie M-WAVE  ""C 15.8 Illu""  Reflex  ";<ul><li>Dimensiuni: <strong>15 x 800 mm </strong></li><li><strong>Cablu cu diametru de 15 mm</strong></li><li><strong>Lungime: 800 mm</strong></li><li><strong>Acoperitoare reflectorizanta </strong></li><li><strong> Reflectorizant- 360* </strong></li><li><strong> Include 2 chei</strong></li></ul>;Accesorii bicicleta;;0;0;22.5;45.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100033;;Antifurt cu Cheie SXT - Twist  Look - 12 x 650 mm;<ul><li>Dimensiune: <strong>12 X 650 mm</strong></li><li><strong>Diametru cablu: 12 mm</strong></li><li><strong>Lungime: 650 mm</strong></li><li><strong>Cablu impletit</strong> acoperit cu plastic transparent</li><li><strong>Protectie pentru praf</strong></li><li>Inchidere <strong>automata</strong></li><li><strong>Include 2 chei</strong></li></ul>;Accesorii bicicleta;;5;1;14.5;29.0;100;Accesorii bicicleta;;SXT;2024/01/01;
100034;;Antifurt cu Cheie SXT 15 x 800 mm;<ul><li>Dimensiune: <strong>15 X 800 mm </strong></li><li><strong>Diametru cablu: 15 mm</strong></li><li><strong>Lungime: 800 mm</strong></li><li><strong>Cablu impletit</strong> acoperit cu plastic transparent </li><li><strong>Inchidere automata</strong></li><li>Include <strong>2 chei</strong></li></ul>;Accesorii bicicleta;;5;1;14.5;29.0;100;Accesorii bicicleta;;SXT;2024/01/01;
100035;;"Antifurt cu Cheie M-WAVE  ""H 24.10"" cu Armura Articulara";<ul><li><strong>Armura articulara ce ofera o siguranta suplimentara</strong></li><li><strong> Cablu cu diametru de 24 mm </strong></li><li><strong>Lungime 1.000 mm</strong></li><li>Cu acoperire din plastic negru transparent</li><li><strong>Include 2 chei</strong></li><li>Foarte rezistent</li><li>Ideal pentru Moto, Scutere,......</li></ul>;Accesorii bicicleta;;5;1;37.5;75.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100036;;"Antifurt cu Cifru M-WAVE  ""HD 18.8"" cu Armura Articulara";<ul><li><strong>Armura articulara ce ofera o siguranta suplimentar</strong>a</li><li><strong>Diametru 18 mm </strong></li><li><strong>Lungime 800 mm</strong></li><li>Cu acoperire din plastic negru transparent</li><li><strong> Foarte rezistent</strong> Acoperit cu material transparent </li><li><strong> Cifru</strong> din <strong>5 cifre </strong></li><li><strong>Cod de securitate</strong> individual, <strong>schimbabil</strong></li><li><strong>Ideal pentru Moto, Scutere,......</strong></li></ul>;Accesorii bicicleta;;5;1;27.5;55.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100037;;Antifurt Tip Lant cu Cheie M-WAVE 10.11;<ul><li><strong>Dimensiuni: 10 x 10 x 1.100 mm</strong></li><li><strong>Lungime: 1.100 mm</strong></li><li><strong>Zale cu diametru de 10 mm</strong></li><li>Foarte robust din cauza<strong> profilului cu lant</strong></li><li><strong> Acoperit cu materila textil </strong></li><li>Acoperitor pentru praf</li><li><strong>2 Chei</strong></li><li><strong>Automatic Lock</strong></li></ul>;Accesorii bicicleta;;5;1;57.5;115.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100038;;"Antifurt cu Cheie M-WAVE  ""HD 18.8"" cu Armura Articulara";<ul><li><strong>18 x 800 mm </strong></li><li><strong>Armura articulara ce ofera o siguranta suplimentara</strong></li><li>Cilindru de inchidere cu <strong>capac pentru protectie anti-praf</strong></li><li>Multe variante-cheie diferite datorita <strong>cheilor computerizate </strong></li><li>Inchidere automata</li><li>Diametru <strong>18 mm </strong></li><li><strong>Lungime 800 mm</strong></li><li>Cu<strong> acoperire din plastic negru transparent</strong></li><li>Include <strong>2 chei</strong></li><li><strong>Ideal pentru Moto, Scutere,......</strong></li></ul>;Accesorii bicicleta;;5;1;18.0;36.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100039;;Antifurt Tip Lant cu Cheie M-WAVE  C 6.8,5;<ul><li><strong>Foarte robust</strong> datorita zalelor de lant</li><li>Dimensiuni: <strong>6 x 850 mm </strong></li><li><strong>Lungime: 850 mm</strong></li><li><strong> Acoperitcu material textil </strong></li><li>Cap foarte rezistent cu<strong> protectie pentru praf</strong> </li><li>Include <strong>2 chei</strong></li></ul>;Accesorii bicicleta;;5;1;32.5;65.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100040;;"Cablu Spiralat M-WAVE  ""S 10.50 L""";<ul><li>Cu doua <strong>capete late</strong></li><li>Pentru protectia mai multor biciclete</li><li>Ideal a se folosi cu un <strong>lacat </strong></li><li><strong>Posibilitate de prelungire a intervalului de blocare</strong></li><li>Dimensiuni: <strong>10 x 5000 mm</strong></li><li><strong>Cablu spiralat cu grosimea de 10 mm</strong></li><li><strong>Lungime: 5.000 mm</strong></li></ul>;Accesorii;;0;0;32.5;65.0;100;Accesorii;;M-WAVE;2024/01/01;
100041;;"Cablu Spiralat M-WAVE  ""S 8.18 L""  ";<ul><li>Cu <strong>doua capete</strong> din metal</li><li>Pentru protectia mai multor biciclete</li><li>Ideal a se folosi cu un lacat</li><li>Dimensiune -<strong> 8 x 1800 mm</strong></li></ul>;Accesorii bicicleta;;5;1;11.0;22.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100042;;"Lacat cu Cifru SXT  ""PD 5""";"<ul><li>Cifru din <strong>5 CIFRE </strong></li><li>5 DIGITS </li><li><strong> Cod</strong> de securitate individual, <strong>schimbabil -</strong></li><li><strong> DIMENSIUNI</strong>: Latime corp mecanism : 63 mm Interior sistem de blocare ( Intre toarte ""BELCIUGE"" ) : 40 mm Inaltime sistem blocare( Intre toarta si corp ) : 30 mm Grosime toarta : 7 mm</li></ul>";Accesorii bicicleta;;5;1;21.0;42.0;100;Accesorii bicicleta;;SXT;2024/01/01;
100043;;Antifurt cu Cifru  M-WAVE   PD 3 L ;<ul><li>Cu<strong> 3 digits</strong></li><li><strong>Cablu spiralat cu diametru de 3 mm</strong></li><li>Acoperitoare transparenta </li><li><strong>Lungime 1200 mm </strong></li><li><strong>Forma spirala</strong></li><li><strong>Cod</strong> de securitate individual, <strong>schimbabil</strong></li><li><strong>Ideal pentru carucioare copii, trotinete, biciclete fara pedale,.....</strong></li></ul>;Accesorii bicicleta;;5;1;12.0;24.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100044;;"Antifurt Cadru U-Lock  M-Wave ""B 247""";<ul><li>Cu prindere clip-on si protectie antipraf</li><li>Grosime bara cu diametrul de 15 mm</li><li>Cresterea sigurantei datorita formei patrate</li><li>Prindere pe cadru, tija de sa..... cu 2 bucle de dimensiuni diferite</li><li>Blocare automata</li><li>Marime exterioara 247 x 165 mm</li><li>Marime interioara 188 x 106 mm</li><li>Include 2 chei <strong>computer-designed</strong></li></ul><p> </p>;Accesorii bicicleta;;5;1;37.5;75.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100045;;"Antifurt Cadru U-Lock M-WAVE  ""B 245""";<ul><li>Grosime bara -<strong>14 mm </strong></li><li>Dimensiuni exterioare: 197/133 x 245 mm</li><li>Dimensiuni interioare: 105 x 205 mm </li><li>Include<strong> doua chei</strong></li><li>Include prindere pe cadru </li><li>Protectie pentru praf</li></ul>;Accesorii bicicleta;;5;1;29.5;59.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100046;;Antifurt Cadru si Furca  M-WAVE BOOSTER 2in1 Negru;<ul><li>Se monteaza pe cadru<strong> in spate sau pe furca fata</strong></li><li><strong>Inchidere automata</strong></li><li>Se poate monta si pe<strong> furca cu suspensie</strong></li><li>Include <strong>2 chei </strong></li><li>Culoare Negru</li></ul>;Accesorii bicicleta;;5;1;72.5;145.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100047;;Antifurt Cadru M-WAVE  RING;<ul><li><strong>Tip potcoava cu diametru interior de 64 mm</strong></li><li>Fixare pe<strong> cadru in 2 suruburi cu distantier detasabil</strong> pentru blocarea<strong> rotii spate </strong></li><li>Include <strong>2 chei</strong></li></ul>;Accesorii bicicleta;;0;0;26.5;53.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100048;;"Antifurt cu Cifru M-WAVE ""DS 12.10 S""  Negru";<ul><li>Antifurt cu cifru din otel spiralat cu diametru de 12 mm</li><li>Cifru din 4 digits schimbabil individual</li><li>Dimensiuni: 12 x 1000 mm</li><li>Lungime: 1.000 mm</li><li>Acoperitoare din silicon</li><li>Culoare: Negru</li></ul>;Accesorii bicicleta;;0;0;27.0;54.0;100;Accesorii bicicleta;;M-WAVE;2024/01/01;
100049;;Camera KENDA 700x23-26C FV-60 mm;"<ul><li>Supapa detasabila</li><li>Ventil  (FV / Presta) - <strong>60 mm</strong></li><li>Marime-700C 27/28""</li><li><strong> ETRO 622-23/26</strong></li></ul>";Camere de bicicleta;;5;1;12.5;25.0;100;Camere de bicicleta;;KENDA;2024/01/01;
100050;;"Anvelopa Pliabila KENDA ""Kadence Elite"" 700x25C K-1081  (60 TPI)";<ul><li><strong>700 x 25C 25-622</strong></li><li>Da Kenda Kadence Elite este o anvelopa de rulare la un nivel mediu si este perfecta pentru antrenament.</li><li><strong> Kevlar -anvelopa pliabila</strong> Aflata intr-o carcasa usoara de numai <strong>255 grame</strong> si <strong>60 TPI</strong> un amestec de performata si accesibilitate care este de neegalat, Kadence Elite se afla intr-o clasa propie.</li><li><strong> L3R-PRO -</strong>componenta folosita la avenlopele usoare, beneficiile fiind rezistenta redusa la rulare si durata de viata crescuta a benzii de rulare.</li><li><strong>ICAPB(Iron Cap Belt)</strong>- un strat material tesut pe sub zona de protectie impotriva perforarii zonei de rulare</li><li><strong> TCC- 2127 mm</strong></li><li><strong> Inscriptii reflectorizante</strong> pentru o mai buna vizibilitate pe timpul noptii.</li></ul>;Anvelope  Pliabile;;0;0;72.5;145.0;100;Anvelope  Pliabile;;KENDA;2024/01/01;
100051;;"Anvelopa Pliabila KENDA ""Valkyrie Pro"" 700x25C  K-1160 ";<ul><li><strong>Greutate 182 grame</strong></li><li><strong>TCC-2130 mm</strong></li><li><strong> R3C</strong> este cel mai rapid compus din cauciucul Kenda si este folosit exclusiv pentru anvelope de cursiera(road) de inalta tensiune. Cu o rezistenta la rulare semnificativ mai joasa si o tractiune crescuta pe vreme umeda. Rapid si usor compusul R3C este cu adevarat succesorul cauciucului R2C.</li><li><strong> KA(K-ARMOR)</strong> patentata de Kenda, protectie si rezistenta la rulare superioara. Ploaie, stralucire, drumuri aspre sau drumuri netede, aceasta anvelopa este mai mult decat durabila si confortabila.</li><li><strong>120 TPI</strong></li><li><strong> Kevlar</strong> (foldable)</li></ul>;Anvelope  Pliabile;;0;0;115.0;230.0;100;Anvelope  Pliabile;;KENDA;2024/01/01;
100052;;Camera KENDA 27.5 x 2.10 - 2.4 Ultralite  FV-48 mm 148 grame;"<ul><li>Ventil (FV / Presta) -<strong> 48 mm</strong> ( supapa detasabila)</li><li>27.5""-2.1 - 2.4""</li><li>ETRTO 584-52/60</li><li><strong> Grosime</strong> perete camera-<strong>0.6 mm</strong></li></ul>";Camere de bicicleta;;1;1;22.5;45.0;100;Camere de bicicleta;;KENDA;2024/01/01;
100053;;Camera KENDA 20 x 1.75-2.125 FV-48 mm;<ul><li>Mixtura speciala de Butyl</li><li>Camera foarte elastica</li><li>Grosime 1 mm</li><li>Turnata</li></ul>;Camere de bicicleta;;0;0;11.0;22.0;100;Camere de bicicleta;;KENDA;2024/01/01;
100054;;Anvelopa KENDA KADRE 29 x 2.40(61-622) K-1027;<ul><li>29 x 2.40</li><li>ETRTO 61-622</li><li>KENDA KADRE K-1027</li><li>30 TPI</li><li>TCC-2356 mm</li><li>Culoare Negru</li><li>Cu o vechime de peste 50 de ani , Kenda se numara printre liderii mondiali in constructia de anvelope pentru biciclete .Pe drum, pe traseu sau pe pista de curse, puteti conta pe calitatea Kenda . Anvelopele noastre sunt proiectate pentru performanta intr-o gama larga de aplicatii. Incearca schimbarea si o sa vezi de ce Kenda este alegerea potrivita.</li></ul>;Anvelope pe sarma;;5;1;55.0;110.0;100;Anvelope pe sarma;;KENDA;2024/01/01;
100055;; Anvelopa KENDA KWEST 27.5 x 1.35 (34-584) K-193;"<ul><li>27,5 x 1,35 (34-584)</li><li>30 TPI</li><li>27.5""(650B)</li><li>TCC - 2004</li><li>ETRTO 584 x 34</li><li>Aplicatie City</li><li>Anvelopa Kwest de la Kenda ruleaza lin si este facuta pentru ciclism urban, trasee de biciclete sau excursii de trekking. Profilul anvelopei este conceput pentru a conduce apa spre exterior, astfel incat sa aveti cea mai buna tractiune. Varietatea mare de dimensiuni si optiuni completeaza profilul Kewst.</li><li>Culoare Negru</li><li>K-193 Kwest</li><li>TCC 2004 mm</li></ul>";Anvelope pe sarma;;0;0;34.5;69.0;100;Anvelope pe sarma;;KENDA;2024/01/01;
